RevisionID:,0106.0036.0012.0002.0022
File Name:,HC900-C75S Rev 7.2x : WEB_SIS_241224 *
Controller Name,WEBSIS
Title:,
Author:,
Created Date:,2/14/2005 7:38:48 AM
Modified Date:,12/24/2024 5:25:30 AM

Report Title:,Modbus Signal Tags and Variables Report [Process & Safety]

Hex Addr,Dec Addr,Tag Name,Description,Type,#,Data Type,EU,Decimal Places,Tag Type,'On' Label,'Off' Label,Initial/Source
0x19FC,6653,LZIT-605C_DELAY,,Variable,159,float 32,,1,Analog, , ,0.00
0x19FE,6655,LZIT-605C_ACK,Acknowledge,Variable,160,float 32, , ,Digital,ON,OFF,OFF
0x1A00,6657,LZIT-605C_MANON,,Variable,161,float 32, , ,Digital,ON,OFF,OFF
0x1A02,6659,LZIT-605C_MOS,,Variable,162,float 32, , ,Digital,ON,OFF,OFF
0x1A04,6661,LZIT-607,,Variable,163,float 32,,0,Analog, , ,0.00
0x1A06,6663,LZIT-607_RH,,Variable,164,float 32,,0,Analog, , ,1750.00
0x1A08,6665,LZIT-607_RL,,Variable,165,float 32,,0,Analog, , ,100.00
0x1A0A,6667,LZIT-607_HH_V,,Variable,166,float 32,,0,Analog, , ,1750.00
0x1A0C,6669,LZIT-607_LL_V,,Variable,167,float 32,,0,Analog, , ,350.00
0x1A0E,6671,LZIT-607_DELAY,,Variable,168,float 32,,1,Analog, , ,0.00
0x1A10,6673,LZIT-607_ACK,Acknowledge,Variable,169,float 32, , ,Digital,ON,OFF,OFF
0x1A12,6675,LZIT-607_MANON,,Variable,170,float 32, , ,Digital,ON,OFF,OFF
0x1A14,6677,LZIT-607_MOS,,Variable,171,float 32, , ,Digital,ON,OFF,OFF
0x1A16,6679,FZIT-104,,Variable,172,float 32,,0,Analog, , ,0.00
0x1A18,6681,FZIT-104_RH,,Variable,173,float 32,,0,Analog, , ,250.00
0x1A1A,6683,FZIT-104_RL,,Variable,174,float 32,,0,Analog, , ,150.00
0x1A1C,6685,FZIT-104_HH_V,,Variable,175,float 32,,0,Analog, , ,800.00
0x1A1E,6687,FZIT-104_LL_V,,Variable,176,float 32,,0,Analog, , ,27.50
0x1A20,6689,FZIT-104_DELAY,,Variable,177,float 32,,1,Analog, , ,0.00
0x1A22,6691,FZIT-104_ACK,Acknowledge,Variable,178,float 32, , ,Digital,ON,OFF,OFF
0x1A24,6693,FZIT-104_MANON,,Variable,179,float 32, , ,Digital,ON,OFF,OFF
0x1A26,6695,FZIT-104_MOS,,Variable,180,float 32, , ,Digital,ON,OFF,OFF
0x1A28,6697,ZZT-906,,Variable,181,float 32,,0,Analog, , ,0.00
0x1A2A,6699,ZZT-906_RH,,Variable,182,float 32,,0,Analog, , ,100.00
0x1A2C,6701,ZZT-906_RL,,Variable,183,float 32,,0,Analog, , ,0.00
0x1A2E,6703,ZZT-906_HH_V,,Variable,184,float 32,,0,Analog, , ,800.00
0x1A30,6705,ZZT-906_LL_V,,Variable,185,float 32,,0,Analog, , ,0.00
0x1A32,6707,ZZT-906_DELAY,,Variable,186,float 32,,1,Analog, , ,0.00
0x1A34,6709,ZZT-906_ACK,Acknowledge,Variable,187,float 32, , ,Digital,ON,OFF,OFF
0x1A36,6711,ZZT-906_MANON,,Variable,188,float 32, , ,Digital,ON,OFF,OFF
0x1A38,6713,ZZT-906_MOS,,Variable,189,float 32, , ,Digital,ON,OFF,OFF
0x1A3A,6715,ZZT-907,,Variable,190,float 32,,0,Analog, , ,0.00
0x1A3C,6717,ZZT-907_RH,,Variable,191,float 32,,0,Analog, , ,100.00
0x1A3E,6719,ZZT-907_RL,,Variable,192,float 32,,0,Analog, , ,0.00
0x1A40,6721,ZZT-907_HH_V,,Variable,193,float 32,,0,Analog, , ,100.00
0x1A42,6723,ZZT-907_LL_V,,Variable,194,float 32,,0,Analog, , ,0.00
0x1A44,6725,ZZT-907_DELAY,,Variable,195,float 32,,1,Analog, , ,0.00
0x1A46,6727,ZZT-907_ACK,Acknowledge,Variable,196,float 32, , ,Digital,ON,OFF,OFF
0x1A48,6729,ZZT-907_MANON,,Variable,197,float 32, , ,Digital,ON,OFF,OFF
0x1A4A,6731,ZZT-907_MOS,,Variable,198,float 32, , ,Digital,ON,OFF,OFF
0x1A4C,6733,LZIT-602,,Variable,199,float 32,,0,Analog, , ,0.00
0x1A4E,6735,LZIT-602_RH,,Variable,200,float 32,,0,Analog, , ,5100.00
0x1A50,6737,LZIT-602_RL,,Variable,201,float 32,,0,Analog, , ,800.00
0x1A52,6739,LZIT-602_HH_V,,Variable,202,float 32,,0,Analog, , ,5100.00
0x1A54,6741,LZIT-602_LL_V,,Variable,203,float 32,,0,Analog, , ,1000.00
0x1A56,6743,LZIT-602_DELAY,,Variable,204,float 32,,1,Analog, , ,0.00
0x1A58,6745,LZIT-602_ACK,Acknowledge,Variable,205,float 32, , ,Digital,ON,OFF,OFF
0x1A5A,6747,LZIT-602_MANON,,Variable,206,float 32, , ,Digital,ON,OFF,OFF
0x1A5C,6749,LZIT-602_MOS,,Variable,207,float 32, , ,Digital,ON,OFF,OFF
0x1A5E,6751,FZIT-103,,Variable,208,float 32,,0,Analog, , ,0.00
0x1A60,6753,FZIT-103_RH,,Variable,209,float 32,,0,Analog, , ,100.00
0x1A62,6755,FZIT-103_RL,,Variable,210,float 32,,0,Analog, , ,0.00
0x1A64,6757,FZIT-103_HH_V,,Variable,211,float 32,,0,Analog, , ,100.00
0x1A66,6759,FZIT-103_LL_V,,Variable,212,float 32,,0,Analog, , ,0.00
0x1A68,6761,FZIT-103_DELAY,,Variable,213,float 32,,1,Analog, , ,0.00
0x1A6A,6763,FZIT-103_ACK,Acknowledge,Variable,214,float 32, , ,Digital,ON,OFF,OFF
0x1A6C,6765,FZIT-103_MANON,,Variable,215,float 32, , ,Digital,ON,OFF,OFF
0x1A6E,6767,FZIT-103_MOS,,Variable,216,float 32, , ,Digital,ON,OFF,OFF
0x1A70,6769,ZZT-908_MOS,,Variable,217,float 32, , ,Digital,ON,OFF,OFF
0x1A72,6771,ZZT-908_MANON,,Variable,218,float 32, , ,Digital,ON,OFF,OFF
0x1A74,6773,ZZT-908_ACK,Acknowledge,Variable,219,float 32, , ,Digital,ON,OFF,OFF
0x1A76,6775,ZZT-908_DELAY,,Variable,220,float 32,,1,Analog, , ,0.00
0x1A78,6777,ZZT-908_LL_V,,Variable,221,float 32,,0,Analog, , ,0.00
0x1A7A,6779,ZZT-908_HH_V,,Variable,222,float 32,,0,Analog, , ,100.00
0x1A7C,6781,ZZT-908_RL,,Variable,223,float 32,,0,Analog, , ,0.00
0x1A7E,6783,ZZT-908_RH,,Variable,224,float 32,,0,Analog, , ,100.00
0x1A80,6785,ZZT-908,,Variable,225,float 32,,0,Analog, , ,0.00
0x1A82,6787,LZIT-632_MOS,,Variable,226,float 32, , ,Digital,ON,OFF,OFF
0x1A84,6789,LZIT-632_MANON,,Variable,227,float 32, , ,Digital,ON,OFF,OFF
0x1A86,6791,LZIT-632_ACK,Acknowledge,Variable,228,float 32, , ,Digital,ON,OFF,OFF
0x1A88,6793,LZIT-632_DELAY,,Variable,229,float 32,,1,Analog, , ,0.00
0x1A8A,6795,LZIT-632_LL_V,,Variable,230,float 32,,0,Analog, , ,300.00
0x1A8C,6797,LZIT-632_HH_V,,Variable,231,float 32,,0,Analog, , ,3000.00
0x1A8E,6799,LZIT-632_RL,,Variable,232,float 32,,0,Analog, , ,0.00
0x1A90,6801,LZIT-632_RH,,Variable,233,float 32,,0,Analog, , ,3000.00
0x1A92,6803,LZIT-632,,Variable,234,float 32,,0,Analog, , ,0.00
0x1A94,6805,LZIT-625_MOS,,Variable,235,float 32, , ,Digital,ON,OFF,OFF
0x1A96,6807,LZIT-625_MANON,,Variable,236,float 32, , ,Digital,ON,OFF,OFF
0x1A98,6809,LZIT-625_ACK,Acknowledge,Variable,237,float 32, , ,Digital,ON,OFF,OFF
0x1A9A,6811,LZIT-625_DELAY,,Variable,238,float 32,,1,Analog, , ,0.00
0x1A9C,6813,LZIT-625_LL_V,,Variable,239,float 32,,0,Analog, , ,300.00
0x1A9E,6815,LZIT-625_HH_V,,Variable,240,float 32,,0,Analog, , ,3000.00
0x1AA0,6817,LZIT-625_RL,,Variable,241,float 32,,0,Analog, , ,0.00
0x1AA2,6819,LZIT-625_RH,,Variable,242,float 32,,0,Analog, , ,3000.00
0x1AA4,6821,LZIT-625,,Variable,243,float 32,,0,Analog, , ,0.00
0x1AA6,6823,LZIT-627_MOS,,Variable,244,float 32, , ,Digital,ON,OFF,OFF
0x1AA8,6825,LZIT-627_MANON,,Variable,245,float 32, , ,Digital,ON,OFF,OFF
