Tag No.,Tag Service,EU,P&ID No.,IO Type,System
100-SD-002,ON ELECTRICAL & INSTRUMENT ROOM,,80289-FGS-LYT-1001 (2 of 5),DVFC,FGS
100-SD-006,ON ACCOMODATION MODULE (1st FLOOR),,80289-FGS-LYT-1001 (2 of 5),DVFC,FGS
100-SD-007,ELECTRICAL AND INSTRUMENT ROOM (HVAC AIR INTAKE),,80289-FGS-LYT-1001 (2 of 5),DVFC,FGS
100-FD-010,MAIN DECK,,80289-FGS-LYT-1001 (2 of 5),AI,FGS
100-GD-004,MEZZANINE DECK,,80289-FGS-LYT-1001 (3 of 5),AI,FGS
100-GD-005,MEZZANINE DECK,,80289-FGS-LYT-1001 (3 of 5),AI,FGS
100-FD-001,MEZZANINE DECK,,80289-FGS-LYT-1001 (3 of 5),AI,FGS
100-GD-012,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-013,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-014,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-015,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-PZIT-615A,FUSIBLE LOOP PRESSURE,,NOTE-1,AI,FGS
100-GD-001,ELECTRICAL AND INSTRUMENT ROOM (HVAC AIR INTAKE),,80289-FGS-LYT-1001 (2 of 5),AI,FGS
100-FD-009,MAIN DECK,,80289-FGS-LYT-1001 (2 of 5),AI,FGS
100-GD-006,MEZZANINE DECK,,80289-FGS-LYT-1001 (3 of 5),AI,FGS
100-GD-007,MEZZANINE DECK,,80289-FGS-LYT-1001 (3 of 5),AI,FGS
100-FD-002,MEZZANINE DECK,,80289-FGS-LYT-1001 (3 of 5),AI,FGS
100-TZIT-409A,TEMPERATURE CO2 SNUFFING SYSTEM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,FGS
100-TZIT-409B,TEMPERATURE CO2 SNUFFING SYSTEM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,FGS
100-GD-016,SUB-CELLAR DECK,,80289-FGS-LYT-1001 (5 of 5),AI,FGS
100-FD-007,SUB CELLAR DECK,,80289-FGS-LYT-1001 (5 of 5),AI,FGS
100-FD-005,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-FD-004,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-002,ELECTRICAL AND INSTRUMENT ROOM (HVAC AIR INTAKE),,80289-FGS-LYT-1001 (2 of 5),AI,FGS
100-GD-017,SUB-CELLAR DECK,,80289-FGS-LYT-1001 (5 of 5),AI,FGS
100-FD-008,SUB CELLAR DECK,,80289-FGS-LYT-1001 (5 of 5),AI,FGS
100-FD-003,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-008,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-009,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-010,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-GD-011,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-FD-006,CELLAR DECK,,80289-FGS-LYT-1001 (4 of 5),AI,FGS
100-PZIT-615B,FUSIBLE LOOP PRESSURE,,NOTE-1,AI,FGS
100-GD-003,ELECTRICAL AND INSTRUMENT ROOM (HVAC AIR INTAKE),,80289-FGS-LYT-1001 (2 of 5),AI,FGS
100-SV-910,ACTIVATE CO2 SNUFFING SYSTEM,,80289-PRO-PID-1010 SHEET 1 OF 2,DP (NDE),FGS
100-SV-323,100-V-006A ACTUATION BOTTLE,,80289-HSE-PID-1001,DP (NDE),FGS
100-CG-002,CONFIRMED GAS - PAGA,,-,DP (NDE),FGS
100-CF-002,CONFIRMED FIRE - PAGA,,-,DP (NDE),FGS
100-CR-003,CONFIRMED FIRE/GAS - NAV AID,,-,DP (NDE),FGS
100-XS-200,CLEAN AGENT RELEASE,,-,DP (NDE),FGS
100-XS-010,SIGNAL TO ISOLATE BATTERY CHARGER,,-,DP (NE),FGS
100-XS-011,SIGNAL TO TRIP HVAC,,-,DP (NE),FGS
100-LZIT-605A,ON 100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,SIS
100-PZIT-219-1,TO WEB PIPELINE PIG RECEIVER AT ONSHORE,,80289-PRO-PID-1008,AI,SIS
100-PZIT-230-1,FROM PAPYRUS PIPELINE PIG LAUNCHER,,80289-PRO-PID-1017,AI,SIS
100-LZIT-607,ON 100-TK-005 FRESH WATER TANK,,80289-PRO-PID-1016,AI,SIS
100-FZIT-104,TO ACCOMODATION MODULE 100-PK-002,,80289-PRO-PID-1016,AI,SIS
100-PZIT-W208A,TO WEB PLATFORM MANIFOLD,,80289-PRO-PID-1001,AI,SIS
